,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,week_no,week_start
24,10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556.0,0.0,5,3,2022,22.642931,88.8930579,0.0127255705,5.0,299.72,10,2022-03-07
25,10th week,Kerala,Trivandrum,Dengue,9.0,0.0,22,2,2022,8.4882267,76.947551,0.09370353234,46.0,301.496,10,2022-03-07
26,10th week,Tamil Nadu,Ariyalur,Dengue,6.0,0.0,5,2,2022,11.07603595,79.11745538,0.01250872941,10.0,303.384,10,2022-03-07
27,10th week,Tamil Nadu,Ariyalur,Pyrexia Of Unknown Origin,15.0,0.0,31,1,2022,11.07603595,79.11745538,0.08308958667,10.0,300.355,10,2022-03-07
28,10th week,Tamil Nadu,Virudhunagar,Dengue,17.0,0.0,16,2,2022,9.5208936,77.8784564,0.3079754379,7.0,306.0,10,2022-03-07
29,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25.0,0.0,17,3,2022,14.7874825,75.3996731,0.00127512791,20.0,307.064,11,2022-03-14
30,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36.0,0.0,18,3,2022,14.7874825,75.3996731,0.001077243378,20.0,307.02,11,2022-03-14
31,11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16.0,0.0,11,3,2022,9.98408,76.2741457,0.04311431044,38.0,303.712,11,2022-03-14
32,11th week,Maharashtra,Akola,Chikungunya,9.0,0.0,12,3,2022,20.76181225,77.19211567,0.01140150866,5.0,311.4666666,11,2022-03-14
33,11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41.0,0.0,22,3,2022,18.7232023,82.60811828,0.0004851654548,5.0,307.552,11,2022-03-14
34,12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19.0,0.0,27,3,2022,20.952407,72.9323831,8.8e-05,4.0,309.62,12,2022-03-21
35,12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19.0,0.0,23,3,2022,22.75,72.833333,8.42e-05,6.0,311.62333340000004,12,2022-03-21
36,12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29.0,0.0,23,3,2022,12.8827367,75.0309089,0.1548463487,23.0,303.66,12,2022-03-21
37,12th week,Maharashtra,Raigad,Dengue,11.0,0.0,21,3,2022,18.4928092,73.13807095,0.0001800343472,5.0,312.184,12,2022-03-21
38,12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14.0,0.0,24,3,2022,11.07603595,79.11745538,0.003166009915,8.0,308.436,12,2022-03-21
39,12th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,35.0,0.0,26,3,2022,22.5760669,88.42006758,0.01326398044,13.0,304.952,12,2022-03-21
40,13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21.0,0.0,21,3,2022,9.98408,76.2741457,0.2802161895,5.0,302.56,13,2022-03-28
41,13th week,Kerala,Thrissur,Acute Diarrhoeal Disease,7.0,0.0,30,3,2022,10.5256264,76.2132542,0.6296586828,5.0,302.385,13,2022-03-28
42,13th week,Kerala,Thiruvananthapuram,Dengue,8.0,0.0,16,3,2022,8.4882267,76.947551,0.07619242379,38.0,305.112,13,2022-03-28
43,13th week,Karnataka,Davanagere,Acute Diarrhoeal Disease,21.0,0.0,29,3,2022,14.4661266,75.9206361,0.0152337369,5.0,307.625,13,2022-03-28
44,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,9.0,0.0,4,3,2022,18.7232023,82.60811828,5.11e-05,11.0,306.932,13,2022-03-28
45,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,83.0,0.0,5,3,2022,19.4129711,85.04710406,0.5065819908,5.0,304.2933334,13,2022-03-28
46,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,69.0,0.0,3,4,2022,19.4129711,85.04710406,0.5065819908,11.0,303.648,13,2022-03-28
47,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,8.0,0.0,28,3,2022,18.7232023,82.60811828,0.0006149952725,11.0,308.19333340000003,13,2022-03-28
48,13th week,Tamil Nadu,Pudukkottai,Dengue,15.0,0.0,30,3,2022,10.5,78.833333,0.06721439309,5.0,306.37,13,2022-03-28
49,14th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,12.0,0.0,2,4,2022,12.9324457,74.9813132,0.1516883933,19.0,303.228,14,2022-04-04
50,14th week,Telangana,Hyderabad,Acute Diarrhoeal Disease,95.0,0.0,8,4,2022,17.360589,78.4740613,0.0008799355934,6.0,312.86400000000003,14,2022-04-04
51,14th week,West Bengal,Hooghly,Cholera,50.0,0.0,6,4,2022,22.9052114,88.3760639,0.01606103471,5.0,301.768,14,2022-04-04
52,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,32.0,0.0,11,4,2022,19.4129711,85.04710406,0.5065819908,12.0,303.004,15,2022-04-11
53,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,39.0,0.0,8,4,2022,19.4129711,85.04710406,0.5065819908,12.0,302.56,15,2022-04-11
54,15th week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,14.0,0.0,17,4,2022,11.7406259,78.9637131,0.3512801639,10.0,312.57,15,2022-04-11
55,15th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,105.0,0.0,12,4,2022,22.3599134,87.41331448,0.001576650271,17.0,303.61,15,2022-04-11
56,15th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,132.0,0.0,17,4,2022,22.642931,88.8930579,0.1245795666,16.0,302.7066666,15,2022-04-11
57,15th week,Kerala,Palakkad,Dengue,18.0,0.0,26,3,2022,10.78789845,76.47408711,0.2079999161,23.0,305.46,15,2022-04-11
58,16th week,Haryana,Panipat,Acute Diarrhoeal Disease,6.0,0.0,23,4,2022,29.3912753,76.9771675,0.007797900735,5.0,309.8166666,16,2022-04-18
59,16th week,Kerala,Kollam,Acute Diarrhoeal Disease,61.0,0.0,24,4,2022,8.8879509,76.5955013,0.3409555758,13.0,302.42,16,2022-04-18
60,16th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,6.0,0.0,19,4,2022,8.4882267,76.947551,0.7656736237,40.0,302.245,16,2022-04-18
61,16th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,11.0,0.0,18,4,2022,20.13069385,84.07904761,0.01136203033,10.0,310.692,16,2022-04-18
62,16th week,Odisha,Ganjam,Cholera,23.0,0.0,21,4,2022,19.4129711,85.04710406,0.5065819908,11.0,304.55333340000004,16,2022-04-18
63,16th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,71.0,0.0,19,4,2022,22.5760669,88.42006758,0.001930660318,10.0,304.93333340000004,16,2022-04-18
64,16th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,91.0,0.0,18,4,2022,23.41146995,87.84499445,0.1065287191,11.0,306.0133334,16,2022-04-18
65,16th week,West Bengal,Howrah,Cholera,53.0,0.0,17,4,2022,22.5736296,88.3251045,0.002075951935,10.0,305.268,16,2022-04-18
66,17th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40.0,0.0,24,4,2022,13.0070817,76.0992703,0.09880602699,10.0,303.87,17,2022-04-25
67,17th week,Kerala,Kollam,Acute Diarrhoeal Disease,63.0,0.0,29,4,2022,8.8879509,76.5955013,0.3002021842,13.0,301.72,17,2022-04-25
68,17th week,Odisha,Ganjam,Acute Diarrhoeal Disease,29.0,0.0,26,4,2022,19.4129711,85.04710406,0.5065819908,11.0,306.316,17,2022-04-25
69,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17.0,0.0,28,4,2022,11.07603595,79.11745538,0.03080676776,8.0,310.16,17,2022-04-25
70,17th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,40.0,0.0,25,4,2022,22.9052114,88.3760639,0.04226417578,12.0,302.65000000000003,17,2022-04-25
71,17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,21.0,0.0,2,1,2022,20.952407,72.9323831,0.00499654567,5.0,298.955,17,2022-04-25
72,17th week,Kerala,Ernakulam,Dengue,16.0,0.0,28,3,2022,9.98408,76.2741457,0.2976702684,30.0,303.396,17,2022-04-25
73,18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,30.0,0.0,28,4,2022,16.21399145,81.02572814,0.001602218663,7.0,308.756,18,2022-05-02
74,18th week,Gujarat,Sabarkantha,Dengue,4.0,3.0,26,4,2022,24.0294885,73.0459884,0.0004518239242,7.0,318.4766666,18,2022-05-02
75,18th week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,10.0,0.0,4,5,2022,8.4882267,76.947551,0.2774664184,45.0,301.6866666,18,2022-05-02
76,18th week,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,254.0,0.0,7,5,2022,24.2651306,75.38718194,0.0113970782,3.0,317.3666666,18,2022-05-02
77,18th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,113.0,0.0,25,4,2022,30.7041168,76.7176885,0.00900936075,6.0,309.4233334,18,2022-05-02
78,18th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15.0,0.0,7,5,2022,12.7948109,79.0006411,0.1129625705,10.0,306.572,18,2022-05-02
79,18th week,Jharkhand,East Singhbhum,Malaria,37.0,1.0,21,4,2022,22.8092139,86.2091549,0.04142995706,7.0,311.8366666,18,2022-05-02
80,18th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,11.0,0.0,25,4,2022,31.38524095,75.30552274,0.01893975441,5.0,310.79200000000003,18,2022-05-02
81,18th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40.0,0.0,26,4,2022,13.0070817,76.0992703,0.004949535238,10.0,303.745,18,2022-05-02
82,18th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,85.0,0.0,7,5,2022,13.9326093,75.574978,0.01528495932,16.0,302.1966666,18,2022-05-02
83,19th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,33.0,0.0,13,5,2022,20.52684285,82.187831,0.1969795804,11.0,307.805,19,2022-05-09
84,19th week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,57.0,0.0,7,5,2022,21.9671264,82.66472425,0.003964035342,9.0,311.408,19,2022-05-09
85,19th week,Gujarat,Navsari,Acute Diarrhoeal Disease,47.0,0.0,15,5,2022,20.952407,72.9323831,8.75e-05,3.0,307.56333340000003,19,2022-05-09
86,19th week,Karnataka,Kalaburagi,Cholera,144.0,0.0,7,5,2022,17.166667,77.083333,0.006687553635,3.0,318.132,19,2022-05-09
87,19th week,Karnataka,Tumkur,Acute Diarrhoeal Disease,13.0,0.0,13,5,2022,13.3400771,77.1006208,0.44945788,9.0,303.58,19,2022-05-09
88,19th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,65.0,0.0,9,5,2022,9.98408,76.2741457,0.5794966868,5.0,300.8066666,19,2022-05-09
89,19th week,Kerala,Kozhikode,Acute Diarrhoeal Disease,100.0,0.0,8,5,2022,11.2450558,75.7754716,0.595196898,5.0,295.2,19,2022-05-09
90,19th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,15.0,0.0,13,5,2022,26.166667,77.5,0.0002114471021,3.0,316.4866666,19,2022-05-09
91,19th week,Maharashtra,Jalgaon,Dengue,9.0,1.0,6,5,2022,20.84288265,75.52612464,0.0001810070481,4.0,319.8166666,19,2022-05-09
92,19th week,Odisha,Ganjam,Acute Diarrhoeal Disease,22.0,0.0,10,5,2022,19.4129711,85.04710406,0.5065819908,11.0,302.8666666,19,2022-05-09
93,19th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,18.0,0.0,11,5,2022,30.7041168,76.7176885,0.03361474363,7.0,307.8933334,19,2022-05-09
94,19th week,Rajasthan,Bikaner,Acute Diarrhoeal Disease,27.0,0.0,12,5,2022,28.0159286,73.3171367,8.15e-05,2.0,321.53000000000003,19,2022-05-09
95,19th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15.0,0.0,6,5,2022,12.7948109,79.0006411,0.1081991632,10.0,308.48400000000004,19,2022-05-09
96,19th week,West Bengal,Jalpaiguri,Dengue,272.0,0.0,8,5,2022,26.4733048,88.67886686,0.2161416423,5.0,304.6,19,2022-05-09
97,19th week,Maharashtra,Sindhudurg,Malaria (Pv),5.0,0.0,4,5,2022,16.1357193,73.6522086,0.01160296462,19.0,305.68333340000004,19,2022-05-09
98,19th week,Karnataka,Hassan,Acute Diarrhoeal Disease,20.0,0.0,9,5,2022,13.0070817,76.0992703,0.1548253362,5.0,302.324,19,2022-05-09
99,20th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,29.0,0.0,15,5,2022,15.6589741,79.47164373,0.9649838386,6.0,308.2466666,20,2022-05-16
100,20th week,Assam,Udalguri,Acute Diarrhoeal Disease,14.0,0.0,17,5,2022,26.77253155,92.10641749,2.407587488,5.0,300.92,20,2022-05-16
101,20th week,Kerala,Alappuzha,Dengue,7.0,0.0,17,5,2022,9.5006651,76.41241429,1.823726827,5.0,295.2,20,2022-05-16
102,20th week,Kerala,Thiruvananthapuram,Dengue,7.0,0.0,13,5,2022,8.4882267,76.947551,0.3247661756,12.0,302.87,20,2022-05-16
103,20th week,Kerala,Wayanad,Acute Diarrhoeal Disease,22.0,0.0,13,5,2022,11.715219,76.12690295,0.6217835649,6.0,301.55,20,2022-05-16
104,20th week,Karnataka,Ballari,Acute Diarrhoeal Disease,22.0,0.0,17,5,2022,15.2485413,76.8323648,0.2310053668,5.0,312.53000000000003,20,2022-05-16
105,20th week,Maharashtra,Pune,Dengue,21.0,0.0,16,5,2022,18.521428,73.8544541,0.008698042455,5.0,309.265,20,2022-05-16
106,20th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,12.0,0.0,18,5,2022,25.1010477,82.62574936,0.0004174087149,4.0,313.0,20,2022-05-16
107,20th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,13.0,0.0,11,5,2022,13.3400771,77.1006208,0.1539146664,9.0,304.56,20,2022-05-16
108,20th week,Maharashtra,Pune,Dengue,12.0,0.0,23,4,2022,18.521428,73.8544541,0.01502899002,5.0,314.96,20,2022-05-16
109,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,110.0,0.0,12,5,2022,25.4425965,92.29882747,1.120595492,17.0,302.0133334,20,2022-05-16
110,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,60.0,0.0,1,5,2022,25.4425965,92.29882747,0.7205701934,5.0,300.456,20,2022-05-16
111,21st week,Arunachal Pradesh,West Kameng,Acute Diarrhoeal Disease,37.0,0.0,27,5,2022,27.4,92.35,1.087377988,18.0,291.86,21,2022-05-23
112,21st week,Kerala,Kozhikode,Acute Diarrhoeal Disease,42.0,0.0,24,5,2022,11.2450558,75.7754716,2.568560169,5.0,295.2,21,2022-05-23
113,21st week,Kerala,Palakkad,Acute Diarrhoeal Disease,29.0,0.0,23,5,2022,10.78789845,76.47408711,1.851591895,10.0,296.47,21,2022-05-23
114,21st week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,113.0,0.0,22,5,2022,23.4805919,74.91931943,2.79e-05,3.0,317.87,21,2022-05-23
115,21st week,Maharashtra,Chandrapur,Malaria,13.0,1.0,25,5,2022,20.0967555,79.50454752,0.006072435084,5.0,314.545,21,2022-05-23
116,21st week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,37.0,0.0,23,5,2022,20.75,85.5,0.006900563323,16.0,305.02,21,2022-05-23
117,21st week,Puducherry,Karaikal,Acute Diarrhoeal Disease,113.0,0.0,26,5,2022,10.91571,79.8375761,0.03765778924,11.0,306.88,21,2022-05-23
118,21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21.0,1.0,21,5,2022,25.3560294,82.50057725,0.03582953885,4.0,311.22400000000005,21,2022-05-23
119,21st week,Karnataka,Udupi,Dengue,92.0,0.0,17,5,2022,13.3419169,74.7473232,0.8331679728,5.0,302.55,21,2022-05-23
120,21st week,Kerala,Palakkad,Dengue,18.0,0.0,3,5,2022,10.78789845,76.47408711,0.7507618224,11.0,302.5066666,21,2022-05-23
121,21st week,Punjab,Patiala,Acute Diarrhoeal Disease,218.0,2.0,11,4,2022,30.2090874,76.33987209,0.0004382394791,5.0,311.5233334,21,2022-05-23
122,22nd week,Assam,Baksa,Acute Diarrhoeal Disease,15.0,0.0,31,5,2022,26.62758805,91.46190527,0.1341413536,29.0,301.835,22,2022-05-30
123,22nd week,Gujarat,Chhota Udepur,Acute Diarrhoeal Disease,203.0,0.0,29,6,2022,22.3148736,74.0141067,0.2976319834,5.0,309.9733334,22,2022-05-30
124,22nd week,Haryana,Gurugram,Acute Diarrhoeal Disease,6.0,0.0,30,5,2022,28.4646148,77.0299194,0.06665708229,5.0,303.99333340000004,22,2022-05-30
125,22nd week,Karnataka,Kalaburagi,Acute Diarrhoeal Disease,16.0,0.0,1,6,2022,17.166667,77.083333,0.009536169368,5.0,315.56,22,2022-05-30
126,22nd week,Karnataka,Mysuru,Acute Diarrhoeal Disease,41.0,0.0,30,5,2022,12.3051828,76.6553609,0.1448342286,12.0,301.868,22,2022-05-30
127,22nd week,Karnataka,Raichur,Acute Diarrhoeal Disease,321.0,3.0,29,5,2022,16.083333,77.166667,0.0016348589,4.0,310.876,22,2022-05-30
128,22nd week,Karnataka,Vijayapura,Chikungunya,13.0,0.0,1,6,2022,16.666667,75.916667,0.00807218942,5.0,312.47200000000004,22,2022-05-30
129,22nd week,Kerala,Alappuzha,Acute Diarrhoeal Disease,9.0,0.0,27,5,2022,9.5006651,76.41241429,0.8318191286,24.0,299.235,22,2022-05-30
130,22nd week,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,48.0,0.0,17,3,2022,26.2037247,78.1573628,0.00012831976,8.0,307.3266666,22,2022-05-30
131,22nd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,4.0,0.0,31,5,2022,26.166667,77.5,0.005249182568,3.0,311.6,22,2022-05-30
132,22nd week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,136.0,2.0,31,5,2022,22.9467047,79.1980228,0.02829364721,9.0,308.0733334,22,2022-05-30
133,22nd week,Madhya Pradesh,Sheopur,Acute Diarrhoeal Disease,56.0,0.0,4,6,2022,25.6656611,76.6954843,2.4e-05,4.0,313.59000000000003,22,2022-05-30
134,22nd week,Maharashtra,Gadchiroli,Malaria,310.0,1.0,29,5,2022,19.75907035,80.16228073,0.00876199396,10.0,311.0866666,22,2022-05-30
135,22nd week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,41.0,0.0,1,6,2022,21.1498134,79.0820556,0.03655443505,5.0,313.49333340000004,22,2022-05-30
136,22nd week,Maharashtra,Pune,Acute Diarrhoeal Disease,97.0,0.0,20,5,2022,18.521428,73.8544541,0.009360110755,6.0,310.9133334,22,2022-05-30
137,22nd week,Maharashtra,Satara,Chikungunya,5.0,0.0,31,5,2022,17.63612885,74.29827808,0.005179040241,5.0,315.36400000000003,22,2022-05-30
138,22nd week,Odisha,Mayurbhanj,Acute Diarrhoeal Disease,73.0,0.0,31,5,2022,21.75,86.5,0.1835894759,14.0,304.444,22,2022-05-30
139,22nd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,24.0,0.0,3,6,2022,12.09680475,78.19304301,0.08874493976,13.0,306.105,22,2022-05-30
140,22nd week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,40.0,0.0,30,5,2022,11.7406259,78.9637131,0.2016062298,12.0,306.932,22,2022-05-30
141,22nd week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,9.0,0.0,3,6,2022,10.7860267,79.1381497,0.1644044216,9.0,310.305,22,2022-05-30
142,22nd week,Uttarakhand,Udham Singh Nagar,Acute Diarrhoeal Disease,39.0,0.0,30,5,2022,29.0480988,79.43131332,0.1078197664,28.0,300.28000000000003,22,2022-05-30
143,22nd week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,30.0,1.0,31,5,2022,27.25264095,82.86964796,0.05871040047,5.0,308.695,22,2022-05-30
144,22nd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,21.0,1.0,16,5,2022,15.52481495,78.41517104,0.4907972928,5.0,303.26,22,2022-05-30
145,22nd week,Arunachal Pradesh,Upper Siang,Malaria,36.0,0.0,12,5,2022,28.73120455,95.03773151,1.142611934,25.0,296.955,22,2022-05-30
146,22nd week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,33.0,0.0,23,5,2022,21.9671264,82.66472425,0.01173879236,9.0,311.144,22,2022-05-30
147,22nd week,Jharkhand,Ranchi,Acute Diarrhoeal Disease,21.0,0.0,20,5,2022,23.3700501,85.3250387,0.06576300589,8.0,308.388,22,2022-05-30
148,22nd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,11.0,0.0,26,5,2022,8.4882267,76.947551,0.7205429192,32.0,300.48,22,2022-05-30
149,23rd week,Assam,Dibrugarh,Acute Diarrhoeal Disease,18.0,0.0,10,6,2022,27.4844597,94.9019447,0.8621149921,5.0,294.68,23,2022-06-06
150,23rd week,Assam,Karbi Anglong,Acute Diarrhoeal Disease,54.0,0.0,9,6,2022,26.0,93.5,1.127105814,5.0,295.2,23,2022-06-06
151,23rd week,Assam,Sonitpur,Dengue,2.0,0.0,3,6,2022,26.76777075,92.70140886,0.5937271413,9.0,301.796,23,2022-06-06
152,23rd week,Chhattisgarh,Jashpur,Acute Diarrhoeal Disease,12.0,0.0,7,6,2022,22.76678355,83.95304519,0.002634188494,15.0,307.896,23,2022-06-06
153,23rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,25.0,0.0,6,6,2022,21.5174104,70.4642754,0.0008335765121,4.0,315.92400000000004,23,2022-06-06
154,23rd week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,4.0,0.0,6,6,2022,22.7859232,86.1716093,0.1341750695,11.0,306.05333340000004,23,2022-06-06
155,23rd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,9.0,0.0,7,6,2022,8.4882267,76.947551,0.3557420819,25.0,300.896,23,2022-06-06
156,23rd week,Madhya Pradesh,Bhopal,Acute Diarrhoeal Disease,32.0,0.0,7,6,2022,23.2584857,77.401989,4.81e-05,6.0,316.18333340000004,23,2022-06-06
157,23rd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,12.0,0.0,7,6,2022,26.166667,77.5,4.75e-05,3.0,318.4833334,23,2022-06-06
158,23rd week,Maharashtra,Chandrapur,Malaria,3.0,1.0,4,6,2022,20.0967555,79.50454752,0.006238415131,6.0,311.32,23,2022-06-06
159,23rd week,Maharashtra,Latur,Acute Diarrhoeal Disease,21.0,0.0,7,6,2022,18.35159075,76.75542361,0.02719165232,2.0,312.02500000000003,23,2022-06-06
160,23rd week,Maharashtra,Satara,Chikungunya,5.0,0.0,3,6,2022,17.63612885,74.29827808,0.0292018731,5.0,311.508,23,2022-06-06
161,23rd week,Odisha,Khordha,Acute Diarrhoeal Disease,7.0,0.0,10,6,2022,20.22564715,85.56059465,0.001571475845,5.0,308.04,23,2022-06-06
162,23rd week,Rajasthan,Bhilwara,Acute Diarrhoeal Disease,160.0,0.0,8,6,2022,25.48877345,74.69961284,5.06e-05,3.0,316.99333340000004,23,2022-06-06
163,23rd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,26.0,0.0,3,6,2022,12.09680475,78.19304301,0.08874493976,13.0,306.105,23,2022-06-06
